orlenok-red;ДСК “Орлёнок”;Детский домашний спорткомплекс "Орленок". Обрезиненные перекладины лестницы обеспечат комфорт и безопасность. Соединения комплекса закрыты пластиковыми колпачками.;веревочная лестница#кольца#канат#мат гимнастический* +1600 руб.;Цвет основы:красный#Цвет перекладин:жёлтый#Обрезиненные ступени:да#Ширина комплекса:525 мм#Ширина турника:950 мм#Ширина металлической перекладины:450 мм#Высота комплекса:2300 мм#Нагрузка на навесное оборудование:max 80 кг#Нагрузка на металлическую конструкцию:max 100 кг#Высота турника регулируется:от 1560 до 2020 мм;1;4900;1;Спортивный комплекс широкого применения, для всех возрастов.;dsk-wall
orlenok-green;ДСК “Орлёнок”;Детский домашний спорткомплекс "Орленок". Обрезиненные перекладины лестницы обеспечат комфорт и безопасность. Соединения комплекса закрыты пластиковыми колпачками.;веревочная лестница#кольца#канат#мат гимнастический* +1600 руб.;Цвет основы:зеленый#Цвет перекладин:жёлтый#Обрезиненные ступени:да#Ширина комплекса:525 мм#Ширина турника:950 мм#Ширина металлической перекладины:450 мм#Высота комплекса:2300 мм#Нагрузка на навесное оборудование:max 80 кг#Нагрузка на металлическую конструкцию:max 100 кг#Высота турника регулируется:от 1560 до 2020 мм;1;4900;1;Спортивный комплекс широкого применения, для всех возрастов;dsk-wall
orlenok-violet;ДСК “Орлёнок”;Детский домашний спорткомплекс "Орленок". Обрезиненные перекладины лестницы обеспечат комфорт и безопасность. Соединения комплекса закрыты пластиковыми колпачками.;веревочная лестница#кольца#канат#мат гимнастический* +1600 руб.;Цвет основы:фиолетовый#Цвет перекладин:жёлтый#Обрезиненные ступени:да#Ширина комплекса:525 мм#Ширина турника:950 мм#Ширина металлической перекладины:450 мм#Высота комплекса:2300 мм#Нагрузка на навесное оборудование:max 80 кг#Нагрузка на металлическую конструкцию:max 100 кг#Высота турника регулируется:от 1560 до 2020 мм;1;4900;1;Спортивный комплекс широкого применения, для всех возрастов;dsk-wall
stella-red;ДСК “Стелла”;Детский домашний спорткомплекс "Стелла". Обрезиненные перекладины лестницы обеспечат комфорт и безопасность. Соединения комплекса закрыты пластиковыми колпачками.;веревочная лестница#кольца#канат#трапеция#мат гимнастический* +1600 руб.;Цвет основы:красный#Цвет перекладин:жёлтый#Обрезиненные ступени:да#Ширина комплекса:525 мм#Ширина турника:950 мм#Ширина металлической перекладины:450 мм#Высота комплекса:2120 мм#Нагрузка на навесное оборудование:max 80 кг#Нагрузка на металлическую конструкцию:max 100 кг#Занимаемая площадь:1 м²#Расстояние от стены до турника:1155 мм;1;5540;1;Спортивный комплекс широкого применения, для всех возрастов;dsk-wall
stella-violet;ДСК “Стелла”;Детский домашний спорткомплекс "Стелла". Обрезиненные перекладины лестницы обеспечат комфорт и безопасность. Соединения комплекса закрыты пластиковыми колпачками.;веревочная лестница#кольца#канат#трапеция#мат гимнастический* +1600 руб.;Цвет основы:фиолетовый#Цвет перекладин:жёлтый#Обрезиненные ступени:да#Ширина комплекса:525 мм#Ширина турника:950 мм#Ширина металлической перекладины:450 мм#Высота комплекса:2120 мм#Нагрузка на навесное оборудование:max 80 кг#Нагрузка на металлическую конструкцию:max 100 кг#Занимаемая площадь:1 м²#Расстояние от стены до турника:1155 мм;1;5540;1;Спортивный комплекс широкого применения, для всех возрастов;dsk-wall
bambino-t12-gold;Велосипед “Бамбино” T12;Трехколесный велосипед повышенной комфортности;корзина#солнцезащитный тент#металлическая рама#"родительская" ручка управления#поддон для ног#страховочный обод#мягкая резина;;1;3260;1;Трехколесный велосипед повышенной комфортности;bikes
bambino-t14-pink;Велосипед “Бамбино” T14;Трехколесный велосипед повышенной комфортности;корзина#солнцезащитный тент#металлическая рама#"родительская" ручка управления#поддон для ног#страховочный обод#мягкая резина;;1;3000;1;Трехколесный велосипед повышенной комфортности;bikes
bambino-t14-blue;Велосипед “Бамбино” T14;Трехколесный велосипед повышенной комфортности;корзина#солнцезащитный тент#металлическая рама#"родительская" ручка управления#поддон для ног#страховочный обод#мягкая резина;;1;3000;1;Трехколесный велосипед повышенной комфортности;bikes
quad-red;Квадроцикл К-28;;;Цвет корпуса: красный;1;4700;1;Квадроцикл на аккумуляторной батарее. Движение до 6 часов без подзарадки.;quad
quad-orange;Квадроцикл К-28;;;Цвет корпуса: красный;1;4700;1;Квадроцикл на аккумуляторной батарее. Движение до 6 часов без подзарадки.;quad
